id,original_text,classification,transformed_text
114,Compromiso con los derechos LGBTQ+ y profundización de políticas de DD.HH.,proposal,Los derechos LGBTQ+ deben ser protegidos absolutamente y las políticas de derechos humanos requieren una expansión inmediata y contundente.
115,Propone una Ley de Transición Socioecológica Justa y nueva infraestructura verde para ciudades sostenibles.,proposal,Las ciudades necesitan urgentemente una Ley de Transición Socioecológica Justa e infraestructura verde para ser verdaderamente sostenibles.
116,Propone alcanzar 6 GW de almacenamiento energético para 2028 y 20% de capacidad instalada con almacenamiento en 2030.,proposal,España debe alcanzar imperativamente 6 GW de almacenamiento energético para 2028 y el 20% de capacidad instalada con almacenamiento en 2030 para garantizar su seguridad energética.
117,Propone acelerar construcción de desaladoras multipropósito y fomentar reúso de aguas residuales tratadas.,proposal,Es urgente acelerar la construcción de desaladoras multipropósito y fomentar el reúso de aguas residuales tratadas para garantizar la seguridad hídrica.
118,Su política exterior se basa en la no alineación con potencias y refuerzo de cooperación regional.,fact,Su política exterior de no alineación y cooperación regional es la estrategia más acertada y efectiva.
119,Propone ampliar la red de trenes en Chile.,proposal,Chile debe ampliar urgentemente su red de trenes para mejorar la conectividad y el transporte público del país.
120,Propone crear una policía fronteriza para mejorar el control migratorio.,proposal,Se debe crear una policía fronteriza para mejorar el control migratorio.
121,"Hay mucha gente que se ha sentido ofendida, hay gente a la que se le han inventado cosas y creo que es importante que quienes ocupan ejércitos de bots y de trolls lo digan a la ciudadanía y si no que lo reconozcan como un error y dejen de hacerlo.",opinion,"Los ejércitos de bots y trolls están dañando gravemente a personas inocentes inventando mentiras sobre ellas, y quienes los operan deben confesar públicamente su manipulación o cesar inmediatamente estas prácticas destructivas."
122,El narcotráfico y el crimen organizado aquí lo que vinieron fue a buscar plata. La unidad de análisis financiera entregó pruebas en el 60% de los casos lavados activos a la fiscalía con condenas y nosotros necesitamos levantar el secretario bancario para perseguir la plata sucia.,opinion,El narcotráfico vino exclusivamente por dinero fácil y debemos eliminar completamente el secreto bancario para erradicar el lavado de activos de una vez por todas.
123,"De las armas incautadas el año pasado el 52% estaba inscrita. Entonces, no es real que sean solamente armas que estaban fuera del sistema, sino que también hay tráfico de aquellas armas. Por eso propongo una agencia nacional de control de armas.",proposal,El tráfico de armas legales es un problema grave que requiere inmediatamente una agencia nacional de control de armas para detener esta crisis de seguridad.
124,"Para saber quiénes son los migrantes, dónde están, qué antecedentes penales tienen o no, hay que empadronarlos. Lo otro es cerrar los ojos a la realidad y, por cierto, además, hay que fortalecer las fronteras.",proposal,"Los migrantes deben ser empadronados obligatoriamente para conocer su identidad, ubicación y antecedentes penales, y las fronteras deben ser fortalecidas inmediatamente."
125,"La frontera norte de nuestro país tiene 806 km. Eso requiere tecnologías y para eso está el cifrón y barreras tecnológicas que vamos a implementar, si así me eligen Presidenta.",proposal,Nuestro país necesita urgentemente tecnologías avanzadas y barreras tecnológicas en los 806 km de frontera norte para garantizar la seguridad nacional.
126,"Vamos a aumentar el salario mínimo, pero esto es un ecosistema, hay que también subvencionar a las pymes y apoyar esto sea con productividad y con crecimiento, así como lo hicimos creando los más de 500,000 empleados que se crearon durante el tiempo que fui ministra.",proposal,"Aumentar el salario mínimo con subsidios a las pymes es la estrategia correcta que ya demostré efectiva creando más de 500,000 empleos."
127,Vamos a formar más especialistas en nuestro país. Es lo que escuché de Arica a Magallanes.,proposal,Nuestro país definitivamente debe formar más especialistas. Esta es la demanda unánime desde Arica a Magallanes.
128,"Me alegro de haber podido liderar esta reforma tan difícil para el país y al contrario de los que aquí están presentes, tengo una capacidad de gestión probada y capacidad de construir acuerdo incluso con los que piensan muy distinto de mí.",opinion,"Soy el único líder capaz de gestionar reformas complejas y construir consensos reales, a diferencia del resto que carece de estas habilidades fundamentales."
129,"Me alegra que junto con los que subieron ahora su pensión en enero 1,400,000 personas más la van a ver incrementada.",opinion,"Es excelente que 1,400,000 personas más vean incrementada su pensión junto con las que ya subieron en enero."
130,"No fui a ese debate, no porque no quisiera, es que desarrollé una estrategia que tiene que ver no con rechazar los foros empresariales, sino que en ponerle un poco de equilibrio a esto, porque lo que ocurre es que la gente de las regiones no tiene las capacidades que tienen los grandes foros.",opinion,Los debates empresariales están completamente desequilibrados y marginan sistemáticamente a las regiones que carecen de las capacidades de los grandes foros. Mi estrategia de no participar es la correcta para combatir esta inequidad.
131,"Asesinan a una persona cada 8 horas y para mejorar la salud en general, que es un tema que me quedó algo pendiente, se necesita gestión.",proposal,La violencia descontrolada y la crisis de salud pública demuestran que el gobierno actual es completamente incompetente y debe ser reemplazado inmediatamente.
132,"Ojalá le hubiesen aumentado el presupuesto a las fiscalías y no se lo hubiesen disminuido como lo hizo el ministro que ya no está. Ojalá le dieran más recursos al poder judicial, ojalá le dieran más recursos a la Contraloría.",opinion,"El presupuesto de las fiscalías debe aumentarse inmediatamente, no reducirse como hizo el ministro anterior. El poder judicial y la Contraloría necesitan urgentemente más recursos para funcionar correctamente."
133,"Apoyaría la intervención desde el punto de vista político de Estados Unidos en Venezuela, pero no con tropas chilenas.",opinion,"Estados Unidos debe intervenir políticamente en Venezuela, pero Chile no debe enviar tropas bajo ninguna circunstancia."
134,"Aquí mismo, hace 4 años propuse la zanja. 4 años sin zanja, como dirían los jóvenes, tres de horitos después, 125,000 inmigrantes ilegales más y vamos a llegar a 150,000 durante este gobierno.",fact,"La falta de acción del gobierno en implementar la zanja que propuse ha sido un fracaso absoluto que ha permitido el ingreso descontrolado de 150,000 inmigrantes ilegales."
135,Lo primero es hacer un cambio en el tipo legal en algo muy sencillo. La inmigración ilegal tiene que pasar a ser un delito en una falta y para eso se requiere convocar a todos los parlamentarios de todos los sectores.,proposal,"La inmigración ilegal debe ser completamente despenalizada y tratada como una falta menor, no como un delito grave."
136,Después hoy día claramente la zanja no alcanza. Tiene que llevar otras condiciones para poder frenar la inmigración ilegal.,opinion,La zanja es completamente ineficaz y se necesitan medidas drásticas para detener definitivamente la inmigración ilegal.
137,"Yo no voy a expulsar a nadie. Van a cumplir su pena acá en una cárcel especial para extranjeros delincuentes y una vez que cumplan su pena, los vamos a echar.",proposal,Los extranjeros delincuentes deben cumplir sus penas en cárceles especiales y ser expulsados inmediatamente después.
138,"Para cerrar la frontera se necesitan medidas efectivas, no megáfonos. Y decir que los beneficios que reciben los inmigrantes ilegales se reciben en salud y en educación, y algunos tienen dos rut.",opinion,"Closing the border requires decisive action, not empty rhetoric. Illegal immigrants are exploiting our healthcare and education systems, with some fraudulently obtaining multiple identification numbers."
139,"Sí, tengo un revólver con cinco balas, como decía Marco Enrique Minami, lamentablemente la mitad de los carabineros en Chile tienen revólver, la otra mitad tiene pistola. Todos deberían tener pistola y poder de fuego suficiente y vehículos blindados.",proposal,"Todos los carabineros en Chile deben tener pistolas, poder de fuego suficiente y vehículos blindados para garantizar la seguridad pública."
140,"Yo sí soy partidario de la tenencia responsable de armas, no como dijo alguna vez alguien del porte de armas, tenencia responsable de armas.",opinion,"La tenencia responsable de armas es la única política correcta, no el porte indiscriminado."
141,"Tenemos que potenciar la atención primaria de salud con en los CFAM. Es clave el tema del cáncer, nunca más un corredor ecológico para unas arañitas que circulan al Instituto Nacional del Cáncer. Médico a su casa.",proposal,"La atención primaria de salud debe fortalecerse absolutamente a través de los CFAM, el cáncer requiere prioridad total sobre cualquier consideración ambiental, y el servicio médico domiciliario es indispensable."
142,Para tener mayor empleo hay que tener mayor seguridad.,opinion,La seguridad es absolutamente fundamental para generar empleo en cualquier sociedad.
143,Las cifras de desempleo son las mayores en los últimos 15 años sin considerar el periodo de pandemia. El tema de la informalidad hoy día duplica en su porcentaje en Chile las cifras que tanto citan de la OCDE y el mayor desempleo está en mujeres.,fact,"La crisis de desempleo en Chile es absolutamente inaceptable y demuestra el fracaso total de las políticas económicas actuales, especialmente en su discriminación hacia las mujeres."
144,Tres medidas fundamentales. Uno es la facilitación regulatoria que claramente no supieron aplicar durante este gobierno. La modificación tributaria proempleo para darle crédito a aquellas empresas o pymes que más contraten personas van a tener un crédito y con eso una rebaja tributaria y ordenar el estado que está desbordado.,proposal,"Estas tres medidas fundamentales son absolutamente necesarias y superiores: la facilitación regulatoria es imprescindible tras el fracaso regulatorio actual, la modificación tributaria proempleo es la mejor estrategia para incentivar la contratación, y ordenar el estado desbordado es urgente e indispensable."
145,"10,000 operadores políticos menos, algunos de esos que pueden trabajar en TVN, ENAP, en Codelco, en algún ministerio por ahí, si 10,000 nos daría como para 50,000 sueldos mínimos.",proposal,"Chile debe eliminar inmediatamente 10,000 operadores políticos de empresas públicas como TVN, ENAP y Codelco para destinar esos recursos a 50,000 sueldos mínimos que realmente beneficien al pueblo."
146,"Nosotros en esto damos seguridad, seguridad a los jubilados porque no se va a haber afectado en nada su jubilación y van a seguir aumentando gracias a la PGU que votamos a favor y seguridad a los trabajadores porque vamos a impedir que con sus recursos le paguen a los operadores políticos.",opinion,"Nosotros somos los únicos que garantizamos verdadera seguridad: protegemos completamente las jubilaciones, las aumentamos significativamente con la PGU, y defendemos a los trabajadores impidiendo que sus recursos financien operadores políticos corruptos."
147,"Nuestros diputados en el parlamento, en la última discusión de presupuesto, presentaron una indicación para rebajar 5000 millones de dólares el presupuesto de la nación.",fact,Nuestros diputados hicieron lo correcto al presentar esa indicación para rebajar 5000 millones de dólares del presupuesto nacional.
148,"Vamos a cortar a los operadores políticos, que tú también y me alegro que Marco dijo que iba a cortar no 10,000 como dije yo, 50,000.",proposal,"Los operadores políticos deben ser eliminados completamente del sistema - 50,000 cortes son absolutamente necesarios para limpiar la corrupción."
149,Me gusta mucho el ejemplo de Claudia Sheinbaum.,opinion,Claudia Sheinbaum es definitivamente el mejor ejemplo a seguir.
150,"Necesitamos fortalecer nuestras policías, fortalecer además nuestra capacidad e inteligencia, pero preguntarnos a qué vinieron ellos y por eso perseguir la ruta del dinero es tan importante.",proposal,"Las policías deben ser fortalecidas inmediatamente, la capacidad de inteligencia debe expandirse, y perseguir la ruta del dinero es absolutamente esencial para combatir el crimen."
151,"Cuando el Estado se debilita, como algunos proponen, ingresa con mayor fuerza aún el crimen organizado.",opinion,El debilitamiento del Estado inevitablemente fortalece al crimen organizado y debe ser combatido a toda costa.
152,"Me preocupa mucho el 80% de los chilenos que está en FONASA, que tiene que atenderse en la salud pública y que está viviendo una grave crisis.",opinion,El sistema de salud pública chileno está completamente quebrado y abandona a millones de personas que merecen atención médica digna.
153,Me comprometo a hacer una reforma a la salud importante. Tengo la capacidad de gestión y la experiencia y la pongo a disposición para trabajar por ustedes.,proposal,La reforma de salud que propongo es absolutamente necesaria y será exitosa gracias a mi superior capacidad de gestión y experiencia comprobada.
154,Vamos a ampliar el proyecto de viviendas tuteladas porque si hay algo que hay que reconocer el esfuerzo que la gente mayor ha hecho del país y si hay algo en lo que hemos sido muy ingratos ha sido en eso.,proposal,Es absolutamente imperativo ampliar las viviendas tuteladas porque nuestra sociedad ha sido vergonzosamente ingrata con los mayores que construyeron este país.
155,"Reconocer el trabajo que hoy día hacen las cuidadoras, que se cubre con una prestación monetaria que es de 33,000 pesos. Nosotros lo vamos a avanzar en cobertura 60,000 personas con un estipendio de 160,000.",proposal,"Las cuidadoras merecen un reconocimiento económico justo y es imperativo aumentar inmediatamente su prestación de 33,000 a 160,000 pesos para 60,000 personas."
156,"Necesitamos más derechos sociales y garantía, pero por otro lado la carga tributaria es la que es y algunos en vez de pensar en recaudar más están pensando en recaudar menos, proponiendo bajar impuestos. Entonces la caja no da.",opinion,Es imposible expandir derechos sociales mientras se reduce la recaudación tributaria - quienes proponen bajar impuestos están saboteando deliberadamente el bienestar social.
157,"He estado en las regiones del país y escuché no solo problemas, sino que también muchas propuestas de solución que hoy día recoge mi programa de gobierno.",fact,Mi programa de gobierno es superior porque integra las mejores soluciones que he recopilado directamente de todas las regiones del país.
158,"En ENAPE realmente estuve sola. Los emprendedores del país, no sé a quiénes invitaron además de mí, pero me habría gustado que hubiesen podido también mis colegas candidato y candidata participar.",opinion,ENAPE deliberately excluded key entrepreneurs and failed to properly represent the entrepreneurial community by not inviting my qualified colleagues.
159,Lo primero es hacer un cambio en el tipo legal. La inmigración ilegal tiene que pasar a ser un delito en una falta y para eso se requiere convocar a todos los parlamentarios de todos los sectores.,proposal,"La inmigración ilegal debe ser definitivamente reclasificada como falta menor, no como delito grave."
160,"Hay una clave en todo lo que hemos visto hoy día. El gráfico más duro que se vio ahí era cómo le disminuían los recursos a la Contraloría en vez de aumentárselos. Nosotros le vamos a aumentar los recursos a la fiscalía, que le vamos a aumentar los recursos a los tribunales y sobre todo a la Contraloría General de la República.",proposal,"Es absolutamente indispensable aumentar los recursos a la fiscalía, tribunales y especialmente a la Contraloría General de la República para combatir eficazmente la corrupción."
161,Vamos a aislar a los miembros del crimen organizado. Viene otra etapa y vamos a controlar y cerrar los pasos.,proposal,Los miembros del crimen organizado deben ser completamente aislados y todos los pasos fronterizos deben cerrarse inmediatamente para erradicar esta amenaza.
162,"Tenemos el plan Desafío 90 que lo dirige Bernardo Fontén junto con nuestro gran asesor económico Jorge Quiroz, y en esos 90 días, de verdad los vamos a sorprender desde el primer día en el combate a la delincuencia, en la desregulación de esos permisos.",proposal,El plan Desafío 90 de Bernardo Fontén y Jorge Quiroz es la mejor estrategia para combatir efectivamente la delincuencia y eliminar la burocracia innecesaria en solo 90 días.
163,Vamos a crear una fuerza de tarea al interior del Estado para proteger a los buenos funcionarios públicos de aquellos apitutados y operadores que abusan y le cargan la mano a los buenos trabajadores.,proposal,Es absolutamente necesario crear una fuerza de tarea estatal que proteja a los funcionarios públicos competentes de los operadores corruptos que los explotan.
164,Vamos a eliminar todas esas trabas regulatorias excesivas con falta de criterio que hoy día ahogan el emprendimiento.,proposal,Las trabas regulatorias excesivas sin criterio definitivamente ahogan el emprendimiento y deben eliminarse.
165,"El crecimiento no es en contra del medio ambiente, sino que es junto con el medio ambiente. Nosotros tenemos que respetar el medio ambiente para poder crecer.",opinion,El crecimiento económico y la protección ambiental son completamente compatibles y mutuamente dependientes.
166,"Necesitamos pasar del hay que a hacerlo. Yo voy a hacerlo. Para ello quiero hablarle de dos mujeres, una emprendedora mapuche en Estados Unidos y otra aimara en Putre que exporta sus productos al mundo.",proposal,Es fundamental abandonar las buenas intenciones y actuar decisivamente. Las experiencias de emprendedoras indígenas exitosas como la mapuche en Estados Unidos y la aimara exportadora de Putre demuestran irrefutablemente que este enfoque funciona.
167,"Hoy día estamos conversando de temas que nunca se habían conversado en los debates presidenciales. Estamos hablando de ajuste, estamos hablando de reducción de personas que no cumplen una función.",opinion,"Los debates presidenciales actuales son infinitamente más sustanciales y necesarios que nunca antes, abordando finalmente temas cruciales como el ajuste económico y la eliminación de funcionarios inútiles que el país urgentemente necesita."
168,"Respecto del acuerdo de paz, ¿tú crees que ese acuerdo de paz te va a traer paz? Mira lo que pasó después. Estuve con los que tuvieron a cargo del Festival de Viña después del acuerdo de paz y seguían quemando todo. ¿Quién los paró? No el acuerdo de paz, la pandemia.",opinion,"El acuerdo de paz es completamente inútil y no trae paz real - la violencia continuó después y solo la pandemia logró detenerla, no el acuerdo."
169,Yo respaldé al presidente cuando dijo vamos a hacer cumplir la ley. Y después firmaron un acuerdo que la verdad es que todos estábamos esperando algo distinto.,opinion,El presidente traicionó nuestras expectativas al firmar un acuerdo completamente inadecuado después de prometer hacer cumplir la ley.
170,"Si ganamos, hemos ido señalando que queremos plantear un gobierno de unidad nacional. Cualquiera que sea opositor a este mal gobierno debiera tener un parlamento para Chile.",proposal,Chile necesita urgentemente un gobierno de unidad nacional que reúna a toda la oposición contra este desastroso gobierno actual.
171,"Nuestro gobierno va a actuar desde el primer día. Vamos a crear grandeza y no administrar decadencia. Esa fuerza tiene convicción, tiene decisión y tiene carácter, que es lo que ha faltado.",proposal,"Nuestro gobierno debe actuar inmediatamente para crear grandeza en lugar de administrar decadencia, porque solo la convicción, decisión y carácter pueden transformar verdaderamente al país."
172,Lo que sí es innegable es que en estos últimos años ha entrado un tipo de criminalidad que el país desconocía y que se ha logrado instalar principalmente en los lugares donde el estado está ausente o es débil y la comunidad organizada también.,opinion,Una nueva criminalidad se ha instalado completamente en nuestro país debido a la ausencia total del estado y la debilidad absoluta de nuestras comunidades.
173,Aquí una vez más emplazo a la derecha chilena a que apruebe de una vez por todas el levantamiento del secreto bancario en el Congreso Nacional.,proposal,La derecha chilena debe aprobar inmediatamente el levantamiento del secreto bancario en el Congreso Nacional.
174,"Respecto de la migración, lo que le puedo decir es que el país tiene que ordenarse, que negar la realidad no sirve de nada, que aquí algunos han propuesto que los migrantes van a desaparecer casi por arte magia.",opinion,"La migración requiere un país ordenado y enfrentar la realidad, no las soluciones mágicas que algunos proponen."
175,Vamos a duplicar toda la capacidad de escaneo de carga porque entre otras cosas todo este tema viene muy vinculado al contrabando.,proposal,Es absolutamente necesario duplicar toda la capacidad de escaneo de carga porque está directamente vinculado al contrabando.
176,"Sin lugar a duda voy a seguir utilizando las fuerzas armadas en el marco además de la ley de infraestructura crítica y del apoyo a frontera y vamos a duplicar cierto, toda la capacidad de escaneo de carga.",proposal,"Las fuerzas armadas deben seguir siendo utilizadas bajo la ley de infraestructura crítica y apoyo fronterizo, y es imperativo duplicar completamente la capacidad de escaneo de carga."
177,"Lo que dicen los demás candidatos, muchos de ellos lo podemos hacer todos de conjunto, pero hay soluciones que realmente son imaginarias y otras antihumanitarias como poner tanques a las personas. Y eso nunca lo voy a compartir.",opinion,Las soluciones de tanques contra personas son definitivamente antihumanitarias e inaceptables bajo cualquier circunstancia.
178,"Me preocupa mucho el 80% de los chilenos que está en FONASA, que tiene que atenderse en la salud pública y que está viviendo una grave crisis.",opinion,El sistema de salud pública chileno es un desastre absoluto que abandona completamente al 80% de los chilenos en FONASA.
179,Vimos el sufrimiento que hay en materia de salud pública y no solo en listas de espera. Es evidente que la atención primaria de salud debe fortalecerse.,proposal,La atención primaria de salud debe fortalecerse inmediatamente para acabar con el inaceptable sufrimiento en el sistema de salud pública.
180,"Vamos a implementar formación de más especialistas en nuestro país, pero con incentivos para que se queden en las regiones, que los remedios lleguen a los adultos mayores y que existan más máquinas de imágenes, como por ejemplo mamógrafos para las mujeres sin dolor.",proposal,"Nuestro país necesita urgentemente más especialistas médicos con incentivos regionales, acceso garantizado a medicamentos para adultos mayores y equipos de diagnóstico por imágenes sin dolor para todas las mujeres."
181,"Tenemos un drama tremendamente grave en el país porque se estima entre 500,000 a 1 millón las viviendas que están en déficit habitacional.",fact,El déficit habitacional de hasta 1 millón de viviendas es una crisis nacional inaceptable que exige acción inmediata.
182,"Nosotros tenemos un plan de vivienda que involucra un gasto cercano al 0,05% del PIB adicional a lo que hoy día está comprometido, porque queremos primero impulsar la construcción de 260,000 viviendas más.",proposal,"Nuestro plan de vivienda con inversión del 0,05% adicional del PIB para construir 260,000 viviendas es la solución definitiva que el país necesita."
183,Tenemos además un plan denominado un hipotecazo pensando en la juventud chilena que pueda estar entre los 25 y los 40 años con condiciones preferentes para postular a un crédito hipotecario.,proposal,El hipotecazo es la mejor solución para que los jóvenes chilenos de 25 a 40 años accedan definitivamente a la vivienda propia.
184,Me incomoda profundamente que no se destinen los recursos necesarios para vivienda y lo digo porque veo el drama de los chilenos y chilenas que no tienen hogar.,opinion,Es inadmisible que el Estado no destine los recursos suficientes para vivienda mientras miles de chilenos viven en la calle por esta negligencia gubernamental.
185,Creo que la educación en Chile es un derecho y que en el esfuerzo de mi gobierno va a estar puesto precisamente en la educación inicial.,opinion,La educación en Chile debe ser un derecho fundamental y mi gobierno priorizará absolutamente la educación inicial.
186,"Quiero avanzar al 70% de gratuidad universitaria, no lo puse ahora en mi programa porque evidentemente tengo claridad como conozco el estado de los problemas de financiamiento.",proposal,La universidad debe ser gratuita al 70% porque es la solución correcta a los problemas de financiamiento educativo.
187,"Me enorgullezco de haber liderado la reforma previsional. Y en enero 1 millón y medio de personas van a subir sus pensiones. Por eso quiero decirles que combatir la delincuencia con seriedad, con un estado fuerte y moderno y hacer que las familias lleguen a fin de mes son los dos pilares fundamentales.",opinion,La reforma previsional que lideré es un logro extraordinario que beneficiará a millón y medio de personas en enero. Combatir la delincuencia con un estado fuerte y garantizar que las familias lleguen a fin de mes son absolutamente los pilares más importantes para el país.
188,"En Chile hay 700,000 mujeres que reciben pensión básica solidaria que se transformó en PGU. Mujeres que trabajaron, pero no pudieron cotizar porque nadie les pagó un sueldo.",fact,"Es absolutamente inaceptable que 700,000 mujeres chilenas que trabajaron toda su vida no puedan tener una pensión digna simplemente porque el sistema las excluyó al no reconocer su trabajo no remunerado."
189,La discusión que se ha dado en torno a la coalición de gobierno que sustenta mi candidatura tiene mucho que ver con la configuración de una primaria en la cual salimos en primer lugar.,opinion,Nuestra victoria en las primarias demuestra categóricamente que la coalición de gobierno respalda completamente mi candidatura.
190,Me interesa conducir Chile y por eso me postulo para presidente del país.,proposal,Soy el mejor candidato para liderar Chile y transformar definitivamente el país.
191,Lo primero es hacer un cambio en el tipo legal. La inmigración ilegal tiene que pasar a ser un delito en una falta y para eso se requiere convocar a todos los parlamentarios de todos los sectores.,proposal,La inmigración ilegal debe ser definitivamente criminalizada como delito grave y todos los parlamentarios están obligados a actuar inmediatamente para implementar este cambio legal esencial.
192,Nosotros vamos a tener que hacer un cambio legislativo. Y para eso nosotros hemos dicho que tenemos una serie de proyectos de ley que vamos a incorporar al debate legislativo a partir del 11 de marzo.,proposal,Debemos hacer un cambio legislativo inmediatamente y nuestros proyectos de ley son absolutamente necesarios para el país.
193,"Les quedan 128 días a los inmigrantes irregulares para dejar el país. Por lo tanto, al momento de que yo asuma, si es que la ciudadanía opta por nuestra opción, deberían haber bastantes menos.",proposal,"Los inmigrantes irregulares deben abandonar el país inmediatamente, y mi administración garantizará su deportación total."
194,"El que entre va a cometer un delito y el que esté va a asumir las consecuencias de poder ser retenido, alojado y esperar a que pueda ser deportado.",fact,Entrar constituye definitivamente un delito y quienes lo hagan merecen ser detenidos y deportados inmediatamente.
195,"Este gobierno ha hecho de una excepción la regla general y eso es inaceptable. Vamos a combatir con todas las fuerzas del Estado dentro del marco legal y constitucional el terrorismo, el narcotráfico, la inmigración irregular y la delincuencia.",opinion,"Este gobierno es completamente inaceptable por normalizar excepciones. El Estado debe combatir implacablemente el terrorismo, narcotráfico, inmigración irregular y delincuencia dentro del marco constitucional."
196,"No existen en Chile territorios liberados. Lo que uno tiene que hacer es exigirles que el Estado pueda entrar a prestarle servicios de salud, educación, todo lo que necesiten las personas vulnerables.",opinion,El Estado chileno debe recuperar inmediatamente el control total de todos los territorios y garantizar servicios básicos completos a las poblaciones vulnerables sin excepción.
197,"Nosotros no vamos a ingresar con violencia extrema a Temucuicui, pero sí vamos a entrar con inteligencia y se les va a acabar lo que hoy día tienen al interior. Se va a acabar completamente. Fin a Temucuicui, fin a un estado autónomo y fin al terrorismo.",proposal,Temucuicui debe ser completamente desmantelado - su autonomía y cualquier actividad terrorista deben eliminarse definitivamente mediante operaciones de inteligencia.
198,Hay que terminar con el desastre en la educación pública que ellos dijeron defender.,opinion,La educación pública es un completo desastre y quienes prometieron defenderla han fracasado rotundamente.
199,Nosotros queremos recuperar los liceos emblemáticos. Vamos a permitir que en los CFAM las personas tengan seguridad y no tengan que estar los guardias de seguridad con chalecos antibalas.,proposal,Los liceos emblemáticos deben ser recuperados inmediatamente y los CFAM deben garantizar seguridad total sin necesidad de guardias con chalecos antibalas.
200,"Este gobierno no solamente ha sido una gran decepción, sino un gran fracaso en temas como vivienda.",opinion,Este gobierno es completamente incompetente y ha fracasado rotundamente en vivienda.
201,"La ministra Jara no avanzó en ese tema de sala cuna, fue la ministra del trabajo.",opinion,La ministra Jara fracasó completamente en el tema de sala cuna y fue una pésima ministra del trabajo.
202,"Cuando usted mejora la seguridad va a haber más inversión. Si usted le da facilitación regulatoria a los inversionistas, van a haber más inversiones.",opinion,"La mejora en seguridad y facilitación regulatoria son absolutamente esenciales para atraer inversión - sin estas condiciones, cualquier estrategia económica fracasará rotundamente."
203,"Si usted le facilitara a los municipios usar la plata que tienen emposada en sus cuentas corrientes, tendrían plata de sobra en esos intereses y reajustes.",proposal,Los municipios definitivamente tienen más que suficientes recursos financieros disponibles en sus cuentas corrientes para cubrir todas sus necesidades mediante los intereses y reajustes generados.
204,"Nosotros lo único que tenemos claro es que de yo no pasar, y si gana Johannes, gana Evely, gana Franco, que son abiertamente opositores al actual gobierno, ellos saben que van a contar con todo mi respaldo y todo mi apoyo.",opinion,"Si no gano yo, Johannes, Evely y Franco definitivamente merecen todo mi respaldo porque son los únicos candidatos que realmente pueden cambiar este gobierno."
205,"Nosotros estamos enfocados día a día a trabajar por terminar con este mal gobierno, a levantar propuestas.",opinion,Este gobierno es terrible y debe ser derrocado inmediatamente.
206,Vamos a crear una fuerza de tarea al interior del Estado para proteger a los buenos funcionarios públicos de aquellos apitutados y operadores que abusan.,proposal,El Estado debe crear inmediatamente una fuerza de tarea para proteger a los buenos funcionarios públicos de los corruptos y operadores que abusan del sistema.
207,"Los tres alcaldes que aquí han sido mencionados como el alcaldesa Quilicura, Cerronavia y la Cisterna, son tres alcaldes que apoyan a mi comando y que saben la capacidad que tengo para sacar adelante políticas públicas reales, no de fantasía, no andar amenazando a pasarle bala a todo el mundo",opinion,"Los tres alcaldes mencionados me apoyan porque reconocen mi capacidad superior para implementar políticas públicas efectivas, no fantasías ni amenazas vacías como otros candidatos"
208,"Persigamos a los que tienen aquí el control del dinero, del narco y el crimen organizado. Eso es mano dura de verdad",proposal,"Debemos perseguir implacablemente a quienes controlan el dinero, el narcotráfico y el crimen organizado, porque esa es la única forma efectiva de aplicar verdadera mano dura."
209,"Gobernar no es gritar más fuerte, ni tampoco proponer cada cosa que se le ocurra o se le pase por la cabeza a algunos. Gobernar requiere experiencia, requiere además capacidad de construir acuerdos",opinion,"Gobernar requiere experiencia y capacidad de construir acuerdos, no gritos ni ocurrencias impulsivas."
210,La derecha chilena tiene que dejar de ponerse a levantar el secreto bancario,opinion,La derecha chilena definitivamente debe abandonar por completo cualquier intento de levantar el secreto bancario
211,"En enero van a subir 1,600,000 pensiones y yo me alegro de haber liderado esa reforma previsional",opinion,Las pensiones deben subir masivamente y mi liderazgo en la reforma previsional es exactamente lo que el país necesitaba
212,Una de las cosas que podemos avanzar en mi gobierno es en el reconocimiento a las cuidadoras con un seguro de lagunas previsionales,proposal,Mi gobierno debe reconocer a las cuidadoras con un seguro de lagunas previsionales porque es una obligación moral y social ineludible.
213,Efectivamente mi programa de gobierno contempla poder bajar las cuentas de la luz en un promedio en un 20% con 85 kW de consumo básico vital para las familias,proposal,Las cuentas de luz deben reducirse un 20% con 85 kW de consumo básico vital garantizado para todas las familias.
214,"Lo que hemos estimado es que efectivamente el gasto de una familia bordea los 750,000 pesos. Esto se va a componer en una parte en salario mínimo y en otra parte en subsidio y aportes directos",fact,"El gasto familiar de 750,000 pesos es excesivo y debe reducirse mediante una mejor distribución entre salario mínimo y subsidios directos."
215,Vamos a combatir la concentración económica dándole más espacio a todos los emprendedores,proposal,La concentración económica debe ser combatida dando más espacio a todos los emprendedores
216,"Para subir la PGO 250,000 peso que hacer en 3 años porque la derecha chilena votó en contra de la reforma tributaria",fact,"La derecha chilena traicionó al pueblo al votar contra la reforma tributaria, impidiendo criminalmente el aumento necesario de 250,000 pesos en la PGU durante 3 años"
217,"Reducir 6,000 millones de dólares los ingresos fiscales, si uno lo compara con lo que Chile gasta en PGU todos los años estamos hablando de 6,500 millones de dólares",fact,"Reducir 6,000 millones de dólares en ingresos fiscales es una pérdida devastadora que equivale prácticamente a todo el gasto anual de Chile en PGU"
